項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
601,其他,全家便利商店北區進化北路進學店(公話),404,臺中市,北區,臺中市北區進化北路325號,Others,"Family Mart convenience store, Jinhua N. Rd., North Dist., Taichung City",Taichung City,North District,"No.325, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
602,其他,統一超商北區進化北路豐華店(公話),404,臺中市,北區,臺中市北區進化北路148號,Others,"7-Eleven convenience store, Jinhua N. Rd., North Dist., Taichung City",Taichung City,North District,"No.148, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
603,其他,統一超商北區進化北路永進店(公話),404,臺中市,北區,臺中市北區進化北路297號,Others,"7-Eleven convenience store,Jinhua N. Rd., North Dist., Taichung City",Taichung City,North District,"No.297, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
604,其他,全家便利商店北區進化北路新大衛店(公話),404,臺中市,北區,臺中市北區進化北路365號之2,Others,"Family Mart convenience store,Jinhua N. Rd., North Dist., Taichung City ",Taichung City,North District,"No.365-2, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
605,其他,統一超商北區進化北路衛道店(公話),404,臺中市,北區,臺中市北區進化北路378號之6,Others,"7-Eleven convenience store,Jinhua N. Rd., North Dist., Taichung City",Taichung City,North District,"No.378-6, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
606,其他,統一超商北區進化路育仁店(公話),404,臺中市,北區,臺中市北區進化路583號,Others,"7-Eleven convenience store,Jinhua Rd., North Dist., Taichung City",Taichung City,North District,"No.583, Jinhua Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
607,其他,統一超商北區漢口路漢華店(公話),404,臺中市,北區,臺中市北區漢口路5段62號,Others,"7-Eleven convenience store,Sec. 5, Hankou Rd., North Dist., Taichung City",Taichung City,North District,"No.62, Sec. 5, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
608,其他,統一超商北區漢口路通豪店(公話),404,臺中市,北區,臺中市北區漢口路三段174號,Others,"7-Eleven convenience store,Sec. 3, Hankou Rd., North Dist., Taichung City",Taichung City,North District,"No.174, Sec. 3, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
609,其他,全家便利商店北區漢口路漢強店(公話),404,臺中市,北區,臺中市北區漢口路四段284號之1,Others,"Family Mart convenience store,Sec. 4, Hankou Rd., North Dist., Taichung City ",Taichung City,North District,"No.284-1, Sec. 4, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
610,其他,全家便利商店北區漢口路漢口店(公話),404,臺中市,北區,臺中市北區漢口路四段56號,Others,"Family Mart convenience store,Sec. 4, Hankou Rd., North Dist., Taichung City ",Taichung City,North District,"No.56, Sec. 4, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
611,其他,全家便利商店北區漢口路漢文店(公話),404,臺中市,北區,臺中市北區漢口路四段57號,Others,"Family Mart convenience store,Sec. 4, Hankou Rd., North Dist., Taichung City ",Taichung City,North District,"No.57, Sec. 4, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
612,其他,統一超商北區德化街新德化店(公話),404,臺中市,北區,臺中市北區德化街660號,Others,"7-Eleven convenience store,Dehua St., North Dist., Taichung City",Taichung City,North District,"No.660, Dehua St., North Dist., Taichung City 404, Taiwan (R.O.C.)"
613,其他,統一超商北區學士路婷婷店(公話),404,臺中市,北區,臺中市北區學士路65號,Others,"7-Eleven convenience store,Xueshi Rd., North Dist., Taichung City",Taichung City,North District,"No.65, Xueshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
614,其他,統一超商北區篤行路篤行店(公話),404,臺中市,北區,臺中市北區篤行路122號,Others,"7-Eleven convenience store,Duxing Rd., North Dist., Taichung City",Taichung City,North District,"No.122, Duxing Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
615,其他,統一超商北區民權路淡溝店(公話),404,臺中市,北區,臺中市北區民權路361號,Others,"7-Eleven convenience store, Minquan Rd., North Dist., Taichung City",Taichung City,North District,"No.361, Minquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
616,其他,統一超商北區興進路嘟嘟店(公話),404,臺中市,北區,臺中市北區興進路60號,Others,"7-Eleven convenience store, Xingjin Rd., North Dist., Taichung City",Taichung City,North District,"No.60, Xingjin Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
617,其他,全家便利商店外埔六分路皇后店(公話),438,臺中市,外埔區,臺中市外埔區六分路237號,Others,"Family Mart convenience store,Liufen Rd., Waipu Dist., Taichung City ",Taichung City,Waipu District,"No.237, Liufen Rd., Waipu Dist., Taichung City 438, Taiwan (R.O.C.)"
618,其他,全家便利商店外埔甲后路國王店(公話),438,臺中市,外埔區,臺中市外埔區甲后路757號之1,Others,"Family Mart convenience store, Jiahou Rd., Waipu Dist., Taichung City ",Taichung City,Waipu District,"No.757-1, Jiahou Rd., Waipu Dist., Taichung City 438, Taiwan (R.O.C.)"
619,其他,統一超商石岡明德路新石岡店(公話),422,臺中市,石岡區,臺中市石岡區明德路118號,Others,"7-Eleven convenience store, Mingde Rd., Shigang Dist., Taichung City",Taichung City,Shihkang District,"No.118, Mingde Rd., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
620,其他,全家便利商店石岡明德路登峰店(公話),422,臺中市,石岡區,臺中市石岡區明德路179號,Others,"Family Mart convenience store,Mingde Rd., Shigang Dist., Taichung City ",Taichung City,Shihkang District,"No.179, Mingde Rd., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
621,其他,統一超商神岡五權路豐洲店(公話),429,臺中市,神岡區,臺中市神岡區五權路63號,Others,"7-Eleven convenience store,Wanxian St., Shigang Dist., Taichung City",Taichung City,Shengang District,"No.68, Wanxian St., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
622,其他,統一超商后里三光路久豐店(公話),421,臺中市,后里區,臺中市后里區三光路36號,Others,"7-Eleven convenience store,Sanguang Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.36, Sanguang Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
623,其他,統一超商后里三豐路后寶店(公話),421,臺中市,后里區,臺中市后里區三豐路113號之24,Others,"7-Eleven convenience store,Sanfeng Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.113-24, Sanfeng Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
624,其他,統一超商后里三豐路寶利旺店(公話),421,臺中市,后里區,臺中市后里區三豐路227號之3,Others,"7-Eleven convenience store, Sanfeng Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.227-3, Sanfeng Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
625,其他,全家便利商店后里公安路旺安店(公話),421,臺中市,后里區,臺中市后里區公安路105號,Others,"Family Mart convenience store,Gong’an Rd., Houli Dist., Taichung City ",Taichung City,Houli District,"No.105, Gong’an Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
626,其他,統一超商后里民生路后冠店(公話),421,臺中市,后里區,臺中市后里區民生路1號,Others,"7-Eleven convenience store,Minsheng Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.1, Minsheng Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
627,其他,統一超商后里民生路月眉店(公話),421,臺中市,后里區,臺中市后里區民生路226號,Others,"7-Eleven convenience store,Minsheng Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.226, Minsheng Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
628,其他,全家便利商店后里甲后路新中興店公話,421,臺中市,后里區,臺中市后里區甲后路196號,Others,"Family Mart convenience store,Jiahou Rd., Houli Dist., Taichung City ",Taichung City,Houli District,"No.196, Jiahou Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
629,其他,統一超商后里甲后路后興店(公話),421,臺中市,后里區,臺中市后里區甲后路742號,Others,"7-Eleven convenience store,Jiahou Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.742, Jiahou Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
630,其他,統一超商后里甲后路后糖店(公話),421,臺中市,后里區,臺中市后里區甲后路835號,Others,"7-Eleven convenience store,Jiahou Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.835, Jiahou Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
631,其他,統一超商后里甲后路后東店(公話),421,臺中市,后里區,臺中市后里區甲后路97號,Others,"7-Eleven convenience store,Jiahou Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.97, Jiahou Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
632,其他,統一超商后里福美路福豐店(公話),421,臺中市,后里區,臺中市后里區福美路17號,Others,"7-Eleven convenience store,Fumei Rd., Houli Dist., Taichung City",Taichung City,Houli District,"No.17, Fumei Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
633,其他,統一超商西屯上仁街上仁店(公話),407,臺中市,西屯區,臺中市西屯區上仁街139號,Others,"7-Eleven convenience store,Shangren St., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.139, Shangren St., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
634,其他,統一超商西屯上石路宸騰店(公話),407,臺中市,西屯區,臺中市西屯區上石路201號,Others,"7-Eleven convenience store,Shangshi Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.201, Shangshi Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
635,其他,全家便利商店西屯上安路上安店(公話),407,臺中市,西屯區,臺中市西屯區上安路136號,Others,"Family Mart convenience store,Shang’an Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.136, Shang’an Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
636,其他,全家便利商店西屯大墩十九街福揚店(公話),407,臺中市,西屯區,臺中市西屯區大墩十九街188號,Others,"Family Mart convenience store, Dadun 19th St., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.188, Dadun 19th St., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
637,其他,統一超商西屯區大墩路墩隆店(公話),407,臺中市,西屯區,臺中市西屯區大墩路966號,Others,"7-Eleven convenience store,Dadun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.966, Dadun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
638,其他,全家便利商店西屯工業一路金工店(公話),407,臺中市,西屯區,臺中市西屯區工業一路98號之130,Others,"Family Mart convenience store,Gongyequ 1st Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.98-130, Gongyequ 1st Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
639,其他,統一超商西屯工業一路工一店(公話),407,臺中市,西屯區,臺中市西屯區工業一路98號之32,Others,"7-Eleven convenience store, Gongyequ 1st Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.98-32, Gongyequ 1st Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
640,其他,統一超商西屯工業三十八路鑫工和店(公話),407,臺中市,西屯區,臺中市西屯區工業三十八路30號,Others,"7-Eleven convenience store, Gongyequ 38th Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.30, Gongyequ 38th Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
641,其他,全家便利商店西屯工業三十八路福和店(公話),407,臺中市,西屯區,臺中市西屯區工業三十八路3號,Others,"Family Mart convenience store, Gongyequ 38th Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.3, Gongyequ 38th Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
642,其他,統一超商西屯中工二路天佑店(公話),407,臺中市,西屯區,臺中市西屯區中工二路196號,Others,"7-Eleven convenience store,Zhonggong 2nd Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.196, Zhonggong 2nd Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
643,其他,統一超商西屯中工三路鑫工三店(公話),407,臺中市,西屯區,臺中市西屯區中工三路123號,Others,"7-Eleven convenience store, Zhonggong 3rd Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.128, Zhonggong 3rd Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
644,其他,全家便利商店西屯中工三路天保店(公話),407,臺中市,西屯區,臺中市西屯區中工三路214號之1,Others,"Family Mart convenience store,Zhonggong 3rd Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.214-1, Zhonggong 3rd Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
645,其他,全家便利商店西屯中工三路工三店(公話),407,臺中市,西屯區,臺中市西屯區中工三路75號,Others,"Family Mart convenience store,Zhonggong 3rd Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.75, Zhonggong 3rd Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
646,其他,統一超商西屯環中路廣環店(公話),407,臺中市,西屯區,臺中市西屯區環中路二段698號,Others,"7-Eleven convenience store, Sec. 2, Huanzhong Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.698, Sec. 2, Huanzhong Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
647,其他,統一超商西屯文心路隆心店(公話),407,臺中市,西屯區,臺中市西屯區文心路二段566號,Others,"7-Eleven convenience store,Sec. 2, Wenxin Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.566, Sec. 2, Wenxin Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
648,其他,統一超商西屯文心路文心店(公話),407,臺中市,西屯區,臺中市西屯區文心路三段76號,Others,"7-Eleven convenience store,Sec. 3, Wenxin Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.76, Sec. 3, Wenxin Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
649,其他,統一超商南屯東興路新墩興店(公話),408,臺中市,南屯區,臺中市南屯區東興路2段98號,Others,"7-Eleven convenience store, Sec. 2, Dongxing Rd., Nantun Dist., Taichung City",Taichung City,Nantun District,"No.98, Sec. 2, Dongxing Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
650,其他,全家便利商店西屯文華路福大店1(公話),407,臺中市,西屯區,臺中市西屯區文華路200號,Others,"Family Mart convenience store,Wenhua Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.200, Wenhua Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
651,其他,全家便利商店西屯文華路福大店2(公話),407,臺中市,西屯區,臺中市西屯區文華路200號,Others,"Family Mart convenience store,Wenhua Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.200, Wenhua Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
652,其他,全家超商西屯文華路文華店(公話),407,臺中市,西屯區,臺中市西屯區文華路3號之3,Others,"Family Mart convenience store,Wenhua Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.3-3, Wenhua Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
653,其他,統一超商西屯四川路桂冠店(公話),407,臺中市,西屯區,臺中市西屯區四川路126號,Others,"7-Eleven convenience store,Sichuan Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.126, Sichuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
654,其他,全家便利商店西屯四川路金釣店(公話),407,臺中市,西屯區,臺中市西屯區四川路18號,Others,"Family Mart convenience store,Sichuan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.18, Sichuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
655,其他,全家便利商店西屯四川路新桂冠店(公話),407,臺中市,西屯區,臺中市西屯區四川路67號,Others,"Family Mart convenience store,Sichuan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.67, Sichuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
656,其他,統一超商西屯市政路潮洋店(公話),407,臺中市,西屯區,臺中市西屯區市政路596號,Others,"7-Eleven convenience store,Shizheng Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.596, Shizheng Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
657,其他,統一超商西屯永福路俊國店(公話),407,臺中市,西屯區,臺中市西屯區永福路40巷5號,Others,"7-Eleven convenience store,Ln. 40, Yongfu Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.5, Ln. 40, Yongfu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
658,其他,全家便利商店西屯甘肅路惠安店(公話),407,臺中市,西屯區,臺中市西屯區甘肅路一段18號,Others,"Family Mart convenience store,Sec. 1, Gansu Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.18, Sec. 1, Gansu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
659,其他,全家便利商店西屯至善路至善店(公話),407,臺中市,西屯區,臺中市西屯區至善路103號,Others,"Family Mart convenience store,Zhishan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.103, Zhishan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
660,其他,全家便利商店西屯至善路至真店(公話),407,臺中市,西屯區,臺中市西屯區至善路236號,Others,"Family Mart convenience store,Zhishan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.236, Zhishan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
661,其他,統一超商西屯西屯路華美店(公話),407,臺中市,西屯區,臺中市西屯區西屯路2段19號,Others,"7-Eleven convenience store,Sec. 2, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.19, Sec. 2, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
662,其他,統一超商西屯西屯路重慶店(公話),407,臺中市,西屯區,臺中市西屯區西屯路2段95號之25,Others,"7-Eleven convenience store,Sec. 2, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.95-25, Sec. 2, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
663,其他,統一超商西屯西屯路新西屯路(公話),407,臺中市,西屯區,臺中市西屯區西屯路二段281號之3,Others,"7-Eleven convenience store,Sec. 2, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.281-3, Sec. 2, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
664,其他,統一超商西屯西屯路福茂店(公話),407,臺中市,西屯區,臺中市西屯區西屯路三段148號之30,Others,"7-Eleven convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.148-30, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
665,其他,統一超商太平中山路第一店(公話),411,臺中市,太平區,臺中市太平區中山路4段112號之2,Others,"7-Eleven convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Taiping District,"No.159-12, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
666,其他,全家便利商店西屯西屯路福科店(公話),407,臺中市,西屯區,臺中市西屯區西屯路三段159號之80,Others,"Family Mart convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.159-80, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
667,其他,全家便利商店西屯西屯路福鄰店(公話),407,臺中市,西屯區,臺中市西屯區西屯路三段166號之25,Others,"Family Mart convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.166-25, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
668,其他,統一超商西屯西屯路玉門店(公話),407,臺中市,西屯區,臺中市西屯區西屯路三段166號之92,Others,"7-Eleven convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.166-92, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
669,其他,統一超商西屯西屯路港安店(公話),407,臺中市,西屯區,臺中市西屯區西屯路三段179號之9,Others,"7-Eleven convenience store,Sec. 3, Xitun Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.179-9, Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
670,其他,全家便利商店西屯西安街福美店(公話),407,臺中市,西屯區,臺中市西屯區西安街91號,Others,"Family Mart convenience store,Xi’an St., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.91, Xi’an St., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
671,其他,統一超商店西屯河南路航發店(公話),407,臺中市,西屯區,臺中市西屯區河南路2段242號,Others,"7-Eleven convenience store,Sec. 2, Henan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.242, Sec. 2, Henan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
672,其他,全家便利商店西屯河南路惠慶店(公話),407,臺中市,西屯區,臺中市西屯區河南路2段301巷76號,Others,"Family Mart convenience store,Sec. 2, Henan Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.76, Ln. 301, Sec. 2, Henan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
673,其他,統一超商西屯河南路安河店(公話),407,臺中市,西屯區,臺中市西屯區河南路二段14號,Others,"7-Eleven convenience store,Sec. 2, Henan Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.14, Sec. 2, Henan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
674,其他,統一超商西屯河南路福上店(公話),407,臺中市,西屯區,臺中市西屯區河南路二段71號,Others,"7-Eleven convenience store,Sec. 2, Henan Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.71, Sec. 2, Henan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
675,其他,統一超商西屯青海路青海店(公話),407,臺中市,西屯區,臺中市西屯區青海路1段1號,Others,"7-Eleven convenience store,Sec. 1, Qinghai Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.1, Sec. 1, Qinghai Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
676,其他,統一超商西屯青海路逢德店(公話),407,臺中市,西屯區,臺中市西屯區青海路2段321號,Others,"7-Eleven convenience store,Sec. 2, Qinghai Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.321, Sec. 2, Qinghai Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
677,其他,統一超商北區陝西路陜西店(公話),404,臺中市,北區,臺中市北區陝西路48號,Others,"7-Eleven convenience store, Shanxi Rd., North Dist., Taichung City",Taichung City,North District,"No.48, Shanxi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
678,其他,統一超商西屯青海路逢仁店(公話),407,臺中市,西屯區,臺中市西屯區青海路二段262號,Others,"7-Eleven convenience store,Sec. 2, Qinghai Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.262, Sec. 2, Qinghai Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
679,其他,統一超商西屯國安一路國安國宅店(公話),407,臺中市,西屯區,臺中市西屯區國安一路208巷1號,Others,"7-Eleven convenience store,Guo’an 1st Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.1, Ln. 208, Guo’an 1st Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
680,其他,統一超商西屯逢甲路逢源店(公話),407,臺中市,西屯區,臺中市西屯區逢甲路162號之5,Others,"7-Eleven convenience store,Fengjia Rd., Xitun Dist., Taichung City 407",Taichung City,Xitun District,"No.162-5, Fengjia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
681,其他,統一超商北屯松竹路金格店(公話),406,臺中市,北屯區,臺中市北屯區松竹路一段965號,Others,"7-Eleven convenience store, No. 965, Sec. 1, Songzhu Rd., Beitun Dist., Taichung City",Taichung City,Beitun District,"No. 965, Sec. 1, Songzhu Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
682,其他,萊爾富便利商店南區忠孝路正氣店(公話),402,臺中市,南區,臺中市南區忠孝路164號,Others,"Hi-Life convenience store, Zhongxiao Rd., South Dist., Taichung City",Taichung City,South District,"No. 164, Zhongxiao Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
683,其他,全家便利商店西屯朝馬路朝貴店(公話),407,臺中市,西屯區,臺中市西屯區朝馬路141號,Others,"Family Mart convenience store, Chaoma Rd., Xitun Dist., Taichung City 407 ",Taichung City,Xitun District,"No.141, Chaoma Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
684,其他,全家便利商店西屯朝富路新大富店(公話),407,臺中市,西屯區,臺中市西屯區朝富路100號,Others,"Family Mart convenience store,Chaofu Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.100, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
685,其他,全家便利商店西屯朝富路朝富店(公話),407,臺中市,西屯區,臺中市西屯區朝富路176號,Others,"Family Mart convenience store,Chaofu Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.176, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
686,其他,全家便利商店西屯朝富路世貿店(公話),407,臺中市,西屯區,臺中市西屯區朝富路18號之5,Others,"Family Mart convenience store, Chaofu Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.18-5, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
687,其他,統一超商西屯朝富路秋紅谷店(公話),407,臺中市,西屯區,臺中市西屯區朝富路32號,Others,"7-Eleven convenience store,Chaofu Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.32, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
688,其他,統一超商西屯寧夏路寧夏店(公話),407,臺中市,西屯區,臺中市西屯區寧夏路105號,Others,"7-Eleven convenience store,Ningxia Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.105, Ningxia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
689,其他,統一超商西屯寧夏路文華店(公話),407,臺中市,西屯區,臺中市西屯區寧夏路232號,Others,"7-Eleven convenience store,Ningxia Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.232, Ningxia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
690,其他,全家便利商店西屯漢翔路漢翔店(公話),407,臺中市,西屯區,臺中市西屯區漢翔路295號,Others,"Family Mart convenience store, Hanxiang Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.295, Hanxiang Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
691,其他,全家便利商店西屯福安路福華店(公話),407,臺中市,西屯區,臺中市西屯區福安路57號,Others,"Family Mart convenience store,Fu’an Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.57, Fu’an Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
692,其他,統一超商西屯福星路西苑店(公話),407,臺中市,西屯區,臺中市西屯區福星路112號,Others,"7-Eleven convenience store,Fuxing Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.112, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
693,其他,統一超商西屯福科路港強店(公話),407,臺中市,西屯區,臺中市西屯區福科路295號,Others,"7-Eleven convenience store,Fuke Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.295, Fuke Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
